Age,Workclass,Years of Education,Occupation,Race,Sex,Hour/Week,Country,Classification
39, Government,13, Adm-clerical, White, Male,40, USA, No
50, Self,13, Business, White, Male,13, USA, No
38, Private,9, Handlers-cleaners, White, Male,40, USA, No
53, Private,7, Handlers-cleaners, Black, Male,40, USA, No
28, Private,13, Prof-specialty, Black, Female,40, Other, No
37, Private,14, Business, White, Female,40, USA, No
49, Private,5, Other-service, Black, Female,16, Other, No
52, Self,9, Business, White, Male,45, USA, Yes
31, Private,14, Prof-specialty, White, Female,50, USA, Yes
42, Private,13, Business, White, Male,40, USA, Yes
37, Private,10, Business, Black, Male,80, USA, Yes
30, Government,13, Prof-specialty, Other, Male,40, Other, Yes
23, Private,13, Adm-clerical, White, Female,30, USA, No
32, Private,12, Business, Black, Male,50, USA, No
40, Private,11, Craft-repair, Other, Male,40, ?, Yes
34, Private,4, Transport-moving, Other, Male,45, Other, No
25, Self,9, Farming-fishing, White, Male,35, USA, No
32, Private,9, Machine-op-inspct, White, Male,40, USA, No
38, Private,7, Business, White, Male,50, USA, No
43, Self,14, Business, White, Female,45, USA, Yes
40, Private,16, Prof-specialty, White, Male,60, USA, Yes
54, Private,9, Other-service, Black, Female,20, USA, No
35, Government,5, Farming-fishing, Black, Male,40, USA, No
43, Private,7, Transport-moving, White, Male,40, USA, No
59, Private,9, Tech-support, White, Female,40, USA, No
56, Government,13, Tech-support, White, Male,40, USA, Yes
19, Private,9, Craft-repair, White, Male,40, USA, No
54, ?,10, ?, Other, Male,60, Other, Yes
39, Private,9, Business, White, Male,80, USA, No
49, Private,9, Craft-repair, White, Male,40, USA, No
23, Government,12, Protective-serv, White, Male,52, USA, No
20, Private,10, Business, Black, Male,44, USA, No
45, Private,13, Business, White, Male,40, USA, No
30, Government,10, Adm-clerical, White, Male,40, USA, No
22, Government,10, Other-service, Black, Male,15, USA, No
48, Private,7, Machine-op-inspct, White, Male,40, Other, No
21, Private,10, Machine-op-inspct, White, Male,40, USA, No
19, Private,9, Adm-clerical, White, Female,25, USA, No
31, Private,10, Business, White, Male,38, ?, Yes
48, Self,12, Prof-specialty, White, Male,40, USA, No
31, Private,5, Machine-op-inspct, White, Male,43, USA, No
53, Self,13, Prof-specialty, White, Male,40, USA, No
24, Private,13, Tech-support, White, Male,50, USA, No
49, Private,9, Adm-clerical, White, Female,40, USA, No
25, Private,9, Handlers-cleaners, White, Male,35, USA, No
57, Government,13, Prof-specialty, Black, Male,40, USA, Yes
53, Private,9, Machine-op-inspct, White, Male,38, USA, No
44, Private,14, Business, White, Female,40, USA, No
41, Government,11, Craft-repair, White, Male,40, USA, No
29, Private,11, Prof-specialty, White, Male,43, USA, No
25, Private,10, Business, Other, Female,40, USA, No
18, Private,9, Other-service, White, Female,30, ?, No
47, Private,15, Prof-specialty, White, Female,60, Other, Yes
50, Government,13, Business, White, Male,55, USA, Yes
47, Self,9, Business, White, Male,60, USA, No
43, Private,10, Tech-support, White, Male,40, USA, Yes
46, Private,3, Machine-op-inspct, White, Male,40, Other, No
35, Private,11, Other-service, White, Male,40, Other, No
41, Private,9, Adm-clerical, White, Male,48, USA, No
30, Private,9, Machine-op-inspct, White, Male,40, USA, No
30, Private,13, Business, White, Male,40, USA, No
32, ?,4, ?, White, Male,40, ?, No
48, Private,9, Transport-moving, White, Male,40, USA, No
42, Private,16, Prof-specialty, White, Male,45, USA, Yes
29, Private,10, Tech-support, White, Male,58, USA, No
36, Private,9, Craft-repair, White, Male,40, USA, No
28, Private,10, Adm-clerical, White, Female,40, USA, No
53, Private,9, Adm-clerical, White, Female,40, USA, Yes
49, Self,10, Business, White, Male,50, USA, Yes
